Optimized Model 1 - Profile Train (num_workers=0, batch_size=128)

Time:
===============
Overall Time: 148.542382768s
	Total train Time: 31.317121920999995s
	Total validation Time: 2.7058704049999847s
	Total test Time: 2.316272055000013s
	Train Time per epoch: 31.317121920999995s
	Validation per epoch: 2.7058704049999847s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::dropout         0.00%     701.000us         0.03%      12.156ms      72.790us       0.000us         0.00%     989.000us       5.922us           0 b           0 b      42.72 Mb           0 b           167  
                                   aten::native_dropout         0.02%       6.812ms         0.03%      11.455ms      83.613us     967.000us         0.00%     989.000us       7.219us           0 b           0 b      42.72 Mb      -7.50 Mb           137  
                                           aten::linear         0.01%       2.651ms         0.09%      40.311ms     241.383us       0.000us         0.00%       2.071ms      12.401us           0 b           0 b       8.21 Mb         512 b           167  
                                                aten::t         0.01%       2.956ms         0.01%       5.240ms       7.329us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           715  
                                            aten::addmm         0.07%      31.748ms         0.08%      36.053ms     215.886us       1.526ms         0.00%       2.081ms      12.461us           0 b           0 b       8.21 Mb       8.20 Mb           167  
                                           aten::expand         0.01%       2.306ms         0.01%       2.745ms       5.828us       0.000us         0.00%       1.000us       0.002us           0 b           0 b           0 b           0 b           471  
void cudnn::dropout_generate_mask<4>(float, curandSt...         0.00%       0.000us         0.00%       0.000us       0.000us      42.184ms         0.07%      42.184ms     307.912us           0 b           0 b           0 b           0 b           137  
void cudnn::dropout_apply_mask<float, float, 4>(floa...         0.00%       0.000us         0.00%       0.000us       0.000us        1.887s         3.15%        1.887s     100.873us           0 b           0 b           0 b           0 b         18705  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.00%     467.000us         0.00%     467.000us       1.662us      19.000us         0.00%      19.000us       0.068us           0 b           0 b       3.58 Mb       3.58 Mb           281  
                                          aten::sigmoid         0.02%       8.854ms         0.02%       9.964ms      59.665us     504.000us         0.00%     505.000us       3.024us           0 b           0 b      83.50 Kb      56.50 Kb           167  
                                               aten::gt         0.01%       6.181ms         0.02%       7.594ms      45.473us     504.000us         0.00%     118.190ms     707.725us           0 b         200 b      83.50 Kb      55.00 Kb           167  
                                           aten::unbind         0.08%      33.087ms         0.15%      64.610ms     386.886us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           167  
                                               aten::eq         0.61%     264.007ms         0.84%     361.699ms      16.888us      64.404ms         0.11%     213.343ms       9.961us           0 b       5.75 Kb      10.46 Mb       7.07 Mb         21417  
                                       aten::is_nonzero        -2.58%  -1111785.000us        24.71%       10.657s     501.502us       0.000us         0.00%     695.757ms      32.742us           0 b           0 b           0 b           0 b         21250  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us     967.000us         0.00%     967.000us       7.058us           0 b           0 b           0 b           0 b           137  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     843.000us         0.00%     843.000us       5.048us           0 b           0 b           0 b           0 b           167  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     504.000us         0.00%     504.000us       3.018us           0 b           0 b           0 b           0 b           167  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 43.131s
Self CUDA time total: 59.951s

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::stack         0.09%      37.593ms         0.27%     115.026ms     244.217us       0.000us         0.00%       1.443ms       3.064us      41.67 Mb           0 b      68.50 Kb      -2.50 Kb           471  
                                              aten::cat         0.10%      41.570ms         0.11%      46.117ms      97.913us       1.438ms         0.00%       1.442ms       3.062us      41.67 Mb      41.67 Mb      68.50 Kb      40.00 Kb           471  
                                            aten::empty         0.08%      35.277ms         0.09%      38.965ms       5.376us       0.000us         0.00%       1.283ms       0.177us     511.46 Kb     511.46 Kb     325.64 Gb     323.92 Gb          7248  
                                         aten::randperm         0.00%     913.000us         0.00%       1.884ms     235.500us       0.000us         0.00%       0.000us       0.000us     332.03 Kb         -32 b           0 b           0 b             8  
                                         aten::_to_copy         0.03%      11.310ms         2.71%        1.169s     463.717us       0.000us         0.00%      37.266ms      14.788us      90.17 Kb       4.48 Kb     174.40 Mb     -14.35 Mb          2520  
                                               aten::to         0.02%       9.884ms         2.73%        1.177s     262.745us       0.000us         0.00%      36.059ms       8.051us      83.23 Kb        -932 b     174.40 Mb         512 b          4479  
                                    aten::empty_strided         0.07%      28.530ms         0.07%      29.440ms       4.695us       0.000us         0.00%       2.000us       0.000us      76.89 Kb      76.89 Kb      35.92 Gb      35.92 Gb          6271  
                                       aten::empty_like         0.02%       8.457ms         0.05%      20.953ms       8.584us       0.000us         0.00%      20.000us       0.008us      20.75 Kb       2.91 Kb      27.12 Gb       2.20 Gb          2441  
                                        cudaMemcpyAsync        24.73%       10.666s        24.74%       10.670s     467.489us     270.598ms         0.45%     276.179ms      12.100us       7.49 Kb         881 b     593.90 Mb     465.26 Mb         22824  
                                             aten::add_         0.03%      14.095ms         0.06%      26.257ms      16.535us       0.000us         0.00%       0.000us       0.000us       2.50 Kb      -3.41 Kb           0 b           0 b          1588  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 43.131s
Self CUDA time total: 59.951s

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaStreamSynchronize        36.85%       15.893s        36.85%       15.893s     705.972us      25.602ms         0.04%      25.602ms       1.137us         -27 b         -27 b      20.50 Kb      19.50 Kb         22512  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.00%       1.858ms        34.47%       14.865s     108.506ms       0.000us         0.00%     635.525ms       4.639ms           0 b           0 b      11.58 Gb      -4.27 Gb           137  
                                     EmbeddingBackward0         0.00%     869.000us        34.46%       14.864s     108.493ms       0.000us         0.00%     635.525ms       4.639ms           0 b           0 b      15.85 Gb           0 b           137  
                               aten::embedding_backward         0.00%     770.000us        34.46%       14.863s     108.487ms       0.000us         0.00%     635.525ms       4.639ms           0 b           0 b      15.85 Gb           0 b           137  
                         aten::embedding_dense_backward         0.08%      35.409ms        34.46%       14.862s     108.481ms     118.159ms         0.20%     635.525ms       4.639ms           0 b           0 b      15.85 Gb     -11.96 Gb           137  
                                             aten::item        -0.82%  -355600.000us        24.75%       10.676s     431.547us       0.000us         0.00%     425.685ms      17.206us           0 b           0 b           0 b           0 b         24740  
                                        cudaMemcpyAsync        24.73%       10.666s        24.74%       10.670s     467.489us     270.598ms         0.45%     276.179ms      12.100us       7.49 Kb         881 b     593.90 Mb     465.26 Mb         22824  
                                       aten::is_nonzero        -2.58%  -1111785.000us        24.71%       10.657s     501.502us       0.000us         0.00%     695.757ms      32.742us           0 b           0 b           0 b           0 b         21250  
                              aten::_local_scalar_dense        19.39%        8.364s        24.69%       10.650s     430.485us      21.712ms         0.04%     697.624ms      28.198us           0 b           0 b           0 b           0 b         24740  
                        aten::_cudnn_rnn_flatten_weight         0.06%      24.229ms         7.38%        3.183s        3.183s       5.000us         0.00%     238.000us     238.000us           0 b           0 b           0 b       8.00 Kb             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 43.131s
Self CUDA time total: 59.951s

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.08%      35.277ms         0.09%      38.965ms       5.376us       0.000us         0.00%       1.283ms       0.177us     511.46 Kb     511.46 Kb     325.64 Gb     323.92 Gb          7248  
                                             aten::lstm         0.03%      13.474ms         4.84%        2.090s      12.512ms       0.000us         0.00%       24.635s     147.518ms           0 b           0 b     104.80 Gb        -512 b           167  
                                       aten::_cudnn_rnn         2.71%        1.170s         4.79%        2.067s      12.374ms       18.823s        31.40%       24.634s     147.511ms           0 b           0 b     104.80 Gb     -60.71 Gb           167  
                                    aten::empty_strided         0.07%      28.530ms         0.07%      29.440ms       4.695us       0.000us         0.00%       2.000us       0.000us      76.89 Kb      76.89 Kb      35.92 Gb      35.92 Gb          6271  
                                            aten::zeros         0.01%       3.399ms         0.10%      41.672ms      36.017us       0.000us         0.00%     153.329ms     132.523us           0 b           0 b      35.03 Gb      -6.35 Gb          1157  
                                       aten::empty_like         0.02%       8.457ms         0.05%      20.953ms       8.584us       0.000us         0.00%      20.000us       0.008us      20.75 Kb       2.91 Kb      27.12 Gb       2.20 Gb          2441  
                                       aten::contiguous         0.01%       2.498ms         0.07%      29.549ms      41.327us       0.000us         0.00%     224.197ms     313.562us           0 b           0 b      26.55 Gb     992.00 Mb           715  
                                            aten::clone         0.00%     416.000us         0.06%      27.673ms      38.703us       0.000us         0.00%     232.615ms     325.336us           0 b           0 b      26.55 Gb      -7.69 Gb           715  
                                       cudaLaunchKernel         4.77%        2.056s         4.78%        2.062s       4.214us       11.520s        19.21%       11.543s      23.589us        -269 b        -269 b      26.19 Gb      16.66 Gb        489335  
                                    aten::_foreach_sqrt         0.03%      10.994ms         0.04%      19.381ms     141.467us     164.841ms         0.27%     164.866ms       1.203ms           0 b           0 b      17.73 Gb     -12.38 Mb           137  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 43.131s
Self CUDA time total: 59.951s

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
