Optimized Model 2 (Structured) - Profile Train (num_workers=0, batch_size=128, structured pruning)

Time:
===============
Overall Time: 123.48534356300024s
	Total train Time: 14.698042675000579s
	Total validation Time: 2.1035821969999233s
	Total test Time: 0.9652310510000461s
	Train Time per epoch: 14.698042675000579s
	Validation per epoch: 2.1035821969999233s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::addmm         0.07%      11.050ms         0.10%      14.826ms      88.778us       1.419ms         0.01%       1.529ms       9.156us           0 b           0 b      83.50 Kb      83.50 Kb           167  
                                           aten::expand         0.01%       1.602ms         0.01%       2.064ms       4.382us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           471  
                                          aten::sigmoid         0.02%       3.410ms         0.09%      13.244ms      79.305us     641.000us         0.00%     657.000us       3.934us           0 b           0 b      83.50 Kb      83.50 Kb           167  
                                               aten::gt         0.03%       3.925ms         0.03%       5.353ms      32.054us     551.000us         0.00%     647.000us       3.874us           0 b           0 b      83.50 Kb      83.50 Kb           167  
                                           aten::unbind         0.20%      31.712ms         0.40%      62.584ms     374.754us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           167  
                                               aten::eq         1.54%     238.092ms         2.45%     379.683ms      17.728us      45.816ms         0.22%     191.002ms       8.918us           0 b           0 b      10.46 Mb      10.46 Mb         21417  
                                       aten::is_nonzero         0.59%      91.397ms        23.28%        3.603s     169.572us       0.000us         0.00%     444.941ms      20.938us           0 b           0 b           0 b           0 b         21250  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us     856.000us         0.00%     856.000us       6.248us           0 b           0 b           0 b           0 b           137  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us     854.000us         0.00%     854.000us       5.145us           0 b           0 b           0 b           0 b           166  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     641.000us         0.00%     641.000us       3.838us           0 b           0 b           0 b           0 b           167  
